MODEL,EPOCHS,LEARNING_RATE,TRAINING_IMGSIZE,TOTAL_IMAGES,PREPROCESSING,AUGMENTATIONS,PREDICT_IMAGES,PRECISION,RECALL,F1_SCORE,PREDICT_TIME_PER_IMAGE
FCN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.851,0.93,0.889,0.215
UNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.881,0.889,0.885,4.948
UNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.879,0.89,0.884,5.01
SegNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.882,0.878,0.88,0.881
UNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.871,0.889,0.88,0.133
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.825,0.94,0.879,0.194
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.864,0.894,0.879,0.12
UNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.849,0.904,0.876,0.143
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.878,0.87,0.874,0.824
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.823,0.929,0.873,1.961
HRNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.88,0.866,0.873,0.702
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.905,0.842,0.872,0.354
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,scale & 2x,5,0.867,0.877,0.872,0.178
SegNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.828,0.922,0.872,0.84
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.89,0.852,0.871,0.192
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.827,0.917,0.87,0.126
SegNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.827,0.917,0.87,0.887
SegNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.835,0.904,0.868,0.77
FCN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.899,0.838,0.867,0.273
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.802,0.936,0.864,0.292
FCN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.912,0.821,0.864,0.209
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,no,5,0.831,0.9,0.864,1.002
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,scale & 2x,5,0.855,0.873,0.864,0.105
SegNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.91,0.823,0.864,0.779
UNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.909,0.824,0.864,0.149
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,zoom in & 2x,5,0.906,0.824,0.863,0.118
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,shear & 2x,5,0.904,0.823,0.862,0.13
Mask RCNN,50,0.0001,480x480,45,resize 720x720,no,5,0.845,0.88,0.862,0.132
FCN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.899,0.826,0.861,0.251
HRNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.799,0.933,0.861,0.566
SegNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.935,0.798,0.861,5.261
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,rotate & flip horizontal vertical & crop & 2x,5,0.875,0.845,0.86,0.105
Mask RCNN,50,0.0001,480x480,45,dilation,no,5,0.893,0.829,0.86,0.262
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.852,0.866,0.859,0.322
FCN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.91,0.813,0.859,0.209
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,rotate & 2x,5,0.908,0.815,0.859,0.107
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & hair removal & gaussian filter,flip horizontal vertical & 2x,5,0.893,0.828,0.859,0.174
HRNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.805,0.918,0.858,0.555
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,rotate & shear & flip horizontal vertical & brightness & translate & zoom in & 2x,5,0.816,0.904,0.858,0.148
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,shear & 2x,5,0.799,0.926,0.858,0.128
SegNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.9,0.82,0.858,0.9
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,brightness & 2x,5,0.883,0.832,0.857,0.111
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,contrast enhancement & 2x,5,0.799,0.924,0.857,0.112
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.901,0.815,0.856,0.174
Mask RCNN,50,0.0001,480x480,45,resize 480x480,flip horizontal vertical & 2x,5,0.801,0.918,0.856,0.098
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.804,0.908,0.853,0.297
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & rotate & brightness & scale & translate & 2x,5,0.778,0.943,0.853,0.188
Mask RCNN,75,0.0001,720x720,45,no,flip horizontal vertical & 2x,5,0.852,0.854,0.853,0.144
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.763,0.964,0.852,0.167
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.768,0.955,0.851,0.138
UNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.914,0.797,0.851,0.131
HRNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.765,0.956,0.85,0.246
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,rotate & shear & flip horizontal vertical & brightness & translate & zoom in & 2x,5,0.895,0.809,0.85,0.197
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,brightness & 2x,5,0.84,0.858,0.849,0.098
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,brightness & 2x,5,0.885,0.815,0.849,0.103
Mask RCNN,50,0.0001,480x480,45,resize 640x640,flip horizontal vertical & 2x,5,0.866,0.833,0.849,0.121
Mask RCNN,50,0.0001,640x640,45,no,flip horizontal vertical & 2x,5,0.857,0.842,0.849,0.105
UNet,75,0.0001,640x640,45,gaussian filter,flip horizontal vertical & 2x,5,0.884,0.816,0.849,0.348
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,brightness & 2x,5,0.901,0.8,0.848,0.107
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & rotate & brightness & scale & translate & 2x,5,0.758,0.96,0.847,0.138
Mask RCNN,50,0.0001,480x480,45,resize 640x640,no,5,0.871,0.824,0.847,0.113
Mask RCNN,50,0.0001,480x480,45,gabor filter,flip horizontal vertical & 2x,5,0.805,0.891,0.846,0.102
UNet,50,0.0001,720x720,45,no,flip horizontal vertical & 2x,5,0.848,0.844,0.846,0.299
FCN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.756,0.958,0.845,0.289
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,translate & 2x,5,0.883,0.81,0.845,0.111
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,no,5,0.865,0.826,0.845,0.188
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,contrast enhancement & 2x,5,0.803,0.89,0.844,0.121
Mask RCNN,50,0.0001,480x480,45,erosion,no,5,0.899,0.793,0.843,0.293
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & gaussian filter,flip horizontal vertical & 2x,5,0.922,0.774,0.842,0.137
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,sharp & 2x,5,0.886,0.802,0.842,0.099
Mask RCNN,75,0.0001,480x480,45,gaussian filter,flip horizontal vertical & 2x,5,0.92,0.775,0.841,0.209
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,rotate & 2x,5,0.897,0.789,0.84,0.096
UNet,50,0.0001,480x480,45,no,flip horizontal vertical & 2x,5,0.903,0.785,0.84,0.262
Mask RCNN,75,0.0001,640x640,45,gaussian filter,flip horizontal vertical & 2x,5,0.902,0.784,0.839,0.292
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,contrast enhancement & 2x,5,0.789,0.894,0.838,0.095
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,rotate & flip horizontal vertical & brightness & gaussian blur & contrast enhancement & sharp & 2x,5,0.907,0.779,0.838,0.214
Mask RCNN,75,0.0001,480x480,45,no,flip horizontal vertical & 2x,5,0.895,0.787,0.838,0.169
UNet,75,0.0001,720x720,45,no,flip horizontal vertical & 2x,5,0.882,0.798,0.838,0.566
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,rotate & flip horizontal vertical & brightness & gaussian blur & contrast enhancement & sharp & 2x,5,0.759,0.932,0.837,0.095
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.912,0.773,0.837,0.847
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.92,0.768,0.837,0.127
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,gaussian blur & 2x,5,0.9,0.783,0.837,0.116
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 7,flip horizontal vertical & 2x,5,0.922,0.764,0.836,0.148
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,crop & rotate & brightness & scale & translate & 2x,5,0.89,0.787,0.835,0.813
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 5 50 50,flip horizontal vertical & 2x,5,0.903,0.776,0.835,0.208
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,scale & 2x,5,0.74,0.956,0.834,0.112
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,gaussian blur & 2x,5,0.904,0.772,0.833,0.106
Mask RCNN,50,0.0001,480x480,45,no,flip horizontal vertical & 2x,5,0.885,0.785,0.832,0.853
UNet,75,0.0001,640x640,45,no,flip horizontal vertical & 2x,5,0.906,0.77,0.832,0.254
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,flip horizontal vertical & 2x,5,0.91,0.763,0.83,0.098
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,contrast enhancement & 2x,5,0.909,0.764,0.83,0.14
UNet,75,0.0001,480x480,45,no,flip horizontal vertical & 2x,5,0.905,0.767,0.83,0.135
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,sharp & 2x,5,0.766,0.904,0.829,0.178
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,scale & 2x,5,0.921,0.748,0.826,0.136
Mask RCNN,75,0.0001,640x640,45,no,flip horizontal vertical & 2x,5,0.9,0.764,0.826,0.258
UNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.957,0.726,0.826,0.134
Mask RCNN,50,0.0001,640x640,45,no,no,5,0.88,0.776,0.825,1.17
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,sharp & 2x,5,0.913,0.75,0.824,0.804
Mask RCNN,50,0.0001,480x480,45,hair removal,flip horizontal vertical & 2x,5,0.93,0.737,0.822,0.308
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,contrast enhancement & 2x,5,0.902,0.755,0.822,0.107
Mask RCNN,50,0.0001,720x720,45,no,flip horizontal vertical & 2x,5,0.916,0.742,0.82,0.291
FCN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,crop & 2x,7,0.84,0.798,0.818,3.5
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 7 & gaussian filter & contrast enhancement,no,5,0.824,0.813,0.818,0.13
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,rotate & flip horizontal vertical & brightness & gaussian blur & contrast enhancement & sharp & 2x,5,0.725,0.936,0.817,0.141
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,zoom in & 2x,5,0.931,0.728,0.817,0.117
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & hair removal & gaussian filter,flip horizontal vertical & 2x,5,0.942,0.72,0.816,0.194
Mask RCNN,50,0.0001,640x640,45,gaussian filter,flip horizontal vertical & 2x,5,0.796,0.838,0.816,1.149
BiseNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,flipHorizontalVertical & 2x,7,0.821,0.806,0.813,0.163
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & gaussian filter,no,5,0.836,0.792,0.813,0.131
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,sharp & 2x,5,0.712,0.945,0.812,0.138
Mask RCNN,50,0.0001,480x480,45,resize 480x480,no,5,0.889,0.744,0.81,0.83
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & hair removal & gaussian filter,no,5,0.785,0.836,0.81,0.205
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 7 & gaussian filter & contrast enhancement,flip horizontal vertical & 2x,5,0.754,0.871,0.808,0.144
DeepLabv3plus,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,crop & 2x,7,0.686,0.976,0.806,0.911
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 5 50 50,no,5,0.916,0.72,0.806,0.213
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.689,0.968,0.805,0.182
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,shear & 2x,5,0.924,0.712,0.804,0.103
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,zoom in & 2x,5,0.929,0.709,0.804,0.862
FCN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,crop & 2x,7,0.83,0.778,0.803,0.222
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,rotate & flip horizontal vertical & crop & 2x,5,0.921,0.712,0.803,0.176
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,contrast enhancement & 2x,5,0.925,0.709,0.803,0.199
UNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,crop & 2x,7,0.77,0.836,0.802,0.142
FCN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,flipHorizontalVertical & 2x,7,0.829,0.773,0.8,0.209
HRNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,flipHorizontalVertical & 2x,7,0.858,0.747,0.799,0.507
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,rotate & 2x,5,0.935,0.697,0.799,0.094
SegNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.946,0.691,0.799,0.832
UNet,75,0.0001,480x480,63,gaussian filter,flip horizontal vertical & 2x,7,0.764,0.838,0.799,0.172
BiseNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,flipHorizontalVertical & 2x,7,0.73,0.881,0.798,0.264
UNet,75,0.0001,480x480,63,no,flip horizontal vertical & 2x,7,0.838,0.759,0.797,0.13
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,gaussian blur & 2x,7,0.795,0.798,0.796,0.071
FCN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.929,0.695,0.795,4.163
UNet,50,0.0001,640x640,63,no,flip horizontal vertical & 2x,7,0.784,0.806,0.795,0.142
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,rotate & shear & flip horizontal vertical & brightness & translate & zoom in & 2x,7,0.79,0.799,0.794,0.088
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,rotate & flip horizontal vertical & shear & brightness & scale & zoom in & 2x,5,0.933,0.689,0.793,0.976
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,gaussian blur & 2x,5,0.942,0.685,0.793,0.104
BiseNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,crop & 2x,7,0.762,0.825,0.792,1.857
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,translate & 2x,7,0.755,0.832,0.792,0.072
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,7,0.754,0.834,0.792,0.134
SegNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,scale & 2x,7,0.813,0.773,0.792,0.642
DeepLabv3plus,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,crop & 2x,7,0.663,0.98,0.791,2.26
Mask RCNN,50,0.0001,480x480,45,gabor filter,no,5,0.686,0.935,0.791,1.68
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,rotate & 2x,7,0.81,0.772,0.791,0.099
UNet,75,0.0001,480x480,45,gaussian filter,flip horizontal vertical & 2x,5,0.696,0.917,0.791,0.186
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,rotate & flip horizontal vertical & crop & 2x,7,0.769,0.813,0.79,0.168
FCN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,scale & 2x,7,0.783,0.795,0.789,0.173
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 5,flip horizontal vertical & 2x,5,0.954,0.673,0.789,0.117
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,rotate & 2x,7,0.816,0.764,0.789,0.115
UNet,75,0.0001,480x480,63,no,no,7,0.819,0.761,0.789,4.263
Mask RCNN,75,0.0001,480x480,45,grayscale,no,5,0.755,0.825,0.788,0.159
SegNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,flipHorizontalVertical & 2x,7,0.805,0.771,0.788,0.611
UNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,crop & 2x,7,0.855,0.73,0.788,3.948
UNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,flipHorizontalVertical & 2x,7,0.865,0.724,0.788,0.121
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,7,0.816,0.76,0.787,0.145
Mask RCNN,50,0.0001,480x480,63,resize 720x720,flip horizontal vertical & 2x,7,0.767,0.808,0.787,0.12
Mask RCNN,75,0.0001,480x480,63,gaussian filter,no,7,0.797,0.777,0.787,0.152
SegNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,crop & 2x,7,0.867,0.721,0.787,4.39
UNet,50,0.0001,640x640,63,no,no,7,0.777,0.797,0.787,4.094
UNet,75,0.0001,640x640,63,no,no,7,0.777,0.798,0.787,4.368
UNet,75,0.0001,720x720,45,grayscale,flip horizontal vertical & 2x,5,0.824,0.753,0.787,0.548
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 5 50 50,flip horizontal vertical & 2x,7,0.731,0.849,0.786,0.165
UNet,50,0.0001,480x480,45,grayscale,flip horizontal vertical & 2x,5,0.814,0.759,0.786,0.26
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,flipHorizontalVertical & 2x,7,0.84,0.736,0.785,0.819
Mask RCNN,50,0.0001,480x480,63,gabor filter,flip horizontal vertical & 2x,7,0.731,0.847,0.785,0.084
UNet,75,0.0001,480x480,63,gaussian filter,no,7,0.802,0.769,0.785,0.15
UNet,75,0.0001,640x640,63,gaussian filter,flip horizontal vertical & 2x,7,0.794,0.777,0.785,0.303
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,rotate & flip horizontal vertical & crop & 2x,5,0.933,0.676,0.784,0.206
Mask RCNN,50,0.0001,480x480,45,sharpening,no,5,0.851,0.727,0.784,0.159
Mask RCNN,75,0.0001,720x720,45,gaussian filter,flip horizontal vertical & 2x,5,0.923,0.682,0.784,0.189
Mask RCNN,50,0.0001,720x720,63,no,no,7,0.744,0.827,0.783,1.563
UNet,50,0.0001,480x480,45,gaussian filter,flip horizontal vertical & 2x,5,0.777,0.79,0.783,0.291
Mask RCNN,75,0.0001,480x480,63,gaussian filter,flip horizontal vertical & 2x,7,0.823,0.744,0.782,0.177
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,rotate & flip horizontal vertical & shear & brightness & scale & zoom in & 2x,5,0.946,0.663,0.78,0.129
Mask RCNN,50,0.0001,480x480,63,gabor filter,no,7,0.831,0.735,0.78,1.441
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & hair removal & gaussian filter,flip horizontal vertical & 2x,7,0.818,0.745,0.78,0.131
