MODEL,EPOCHS,LEARNING_RATE,TRAINING_IMGSIZE,TOTAL_IMAGES,PREPROCESSING,AUGMENTATIONS,PREDICT_IMAGES,PRECISION,RECALL,F1_SCORE,PREDICT_TIME_PER_IMAGE
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 5 50 50,no,7,0.436,0.934,0.594,0.164
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 9 75 75,no,7,0.447,0.885,0.594,0.083
YOLOv8n,75,0.0001,480x480,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.642,0.551,0.593,1.083
YOLOv8n,50,0.0001,720x720,45,gaussian filter & grayscale,no,5,0.605,0.577,0.591,1.151
YOLOv8n,50,0.0001,480x480,45,grayscale,flip horizontal vertical & 2x,5,0.586,0.594,0.59,1.307
YOLOv8n,50,0.0001,480x480,63,grayscale,flip horizontal vertical & 2x,7,0.632,0.553,0.59,0.833
YOLOv8n,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.767,0.478,0.589,1.24
YOLOv8n,50,0.0001,640x640,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.648,0.539,0.588,0.807
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 5 50 50,no,7,0.442,0.872,0.587,0.174
YOLOv8n,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,scale & 2x,7,0.711,0.5,0.587,0.873
YOLOv8n,50,0.0001,640x640,45,gaussian filter,no,5,0.611,0.565,0.587,1.135
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,zoom in & 2x,7,0.923,0.429,0.586,0.151
Mask RCNN,50,0.0001,480x480,45,erosion & dilation & gabor filter & gaussian filter,flip horizontal vertical & 2x,5,0.415,0.982,0.583,0.101
Mask RCNN,50,0.0001,480x480,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.439,0.863,0.582,0.125
YOLOv8n,75,0.0001,720x720,63,grayscale,flip horizontal vertical & 2x,7,0.596,0.566,0.581,0.848
UNet,75,0.0001,480x480,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.466,0.762,0.578,0.171
YOLOv8n,50,0.0001,640x640,45,gaussian filter & grayscale,no,5,0.647,0.522,0.578,1.157
YOLOv8n,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,translate & 2x,7,0.64,0.526,0.577,0.896
YOLOv8n,75,0.0001,640x640,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.589,0.565,0.577,1.293
UNet,75,0.0001,640x640,63,grayscale,no,7,0.702,0.485,0.574,0.206
YOLOv8n,50,0.0001,640x640,63,grayscale,flip horizontal vertical & 2x,7,0.525,0.624,0.57,0.802
YOLOv8n,50,0.0001,640x640,63,grayscale,no,7,0.597,0.526,0.559,0.833
YOLOv8n,50,0.0001,480x480,63,no,flip horizontal vertical & 2x,7,0.721,0.447,0.552,0.796
YOLOv8n,50,0.0001,480x480,63,gaussian filter,no,7,0.756,0.434,0.551,0.823
YOLOv8n,75,0.0001,480x480,63,grayscale,no,7,0.636,0.484,0.55,0.837
YOLOv8n,75,0.0001,640x640,45,gaussian filter & grayscale,no,5,0.6,0.507,0.55,1.121
YOLOv8n,75,0.0001,720x720,63,gaussian filter & grayscale,no,7,0.619,0.487,0.545,0.827
Mask RCNN,50,0.0001,480x480,63,gaussian filter,no,7,0.512,0.557,0.534,0.092
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & adaptive median filter 5 & grayscale,no,7,0.369,0.969,0.534,0.203
Mask RCNN,50,0.0001,480x480,63,gaussian filter,flip horizontal vertical & 2x,7,0.472,0.602,0.529,0.087
Mask RCNN,50,0.0001,480x480,63,grayscale,no,7,0.349,0.986,0.516,0.101
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 5 & gaussian filter & contrast enhancement,no,5,0.352,0.958,0.515,0.111
YOLOv8n,75,0.0001,480x480,45,gaussian filter & grayscale,no,5,0.554,0.478,0.513,1.168
YOLOv8n,50,0.0001,480x480,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.547,0.472,0.507,1.107
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 5 50 50,flip horizontal vertical & 2x,7,0.343,0.962,0.506,0.186
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 3 & bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.337,0.964,0.499,0.144
YOLOv8n,50,0.0001,480x480,45,gaussian filter & grayscale,no,5,0.589,0.42,0.49,1.102
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 5,no,5,0.977,0.325,0.488,0.111
YOLOv8n,50,0.0001,480x480,63,gaussian filter & grayscale,no,7,0.477,0.487,0.482,0.85
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & adaptive median filter 7 & grayscale,no,7,0.325,0.925,0.481,0.219
YOLOv8n,50,0.0001,480x480,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.453,0.5,0.475,0.927
Mask RCNN,75,0.0001,480x480,45,gaussian filter & grayscale,no,5,0.321,0.868,0.469,0.207
YOLOv8n,75,0.0001,480x480,63,gaussian filter & grayscale,no,7,0.526,0.421,0.468,1.201
HRNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,scale & 2x,7,0.305,0.992,0.467,0.427
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & adaptive median filter 5 & grayscale,no,7,0.274,0.948,0.425,0.928
Mask RCNN,50,0.0001,480x480,63,grayscale,flip horizontal vertical & 2x,7,0.242,0.997,0.389,0.109
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 3 & bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,7,0.22,0.988,0.36,0.116
PSPNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,flipHorizontalVertical & 2x,7,0.209,0.994,0.345,0.629
HRNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.201,0.998,0.335,0.545
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & gaussian filter & background masking,no,5,0.996,0.197,0.329,1.025
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & gaussian filter & background masking,no,5,0.995,0.197,0.329,0.111
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & gaussian filter & background masking,no,5,0.998,0.195,0.326,0.141
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & background masking,no,5,0.999,0.194,0.325,0.128
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & background masking,no,5,0.998,0.192,0.322,1.29
Mask RCNN,50,0.0001,480x480,45,background masking,no,5,0.999,0.19,0.319,1.142
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & background masking,no,5,0.999,0.19,0.319,0.107
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & background masking,flip horizontal vertical & 2x,5,0.998,0.187,0.315,0.094
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & background masking,flip horizontal vertical & 2x,5,0.999,0.186,0.314,0.111
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & background masking,flip horizontal vertical & 2x,5,0.998,0.186,0.314,0.129
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & gaussian filter & background masking,flip horizontal vertical & 2x,5,0.997,0.186,0.314,0.139
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & gaussian filter & background masking,flip horizontal vertical & 2x,5,0.997,0.183,0.309,0.12
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & gaussian filter & background masking,flip horizontal vertical & 2x,5,0.998,0.181,0.306,0.099
Mask RCNN,50,0.0001,480x480,45,background masking,flip horizontal vertical & 2x,5,0.999,0.18,0.305,0.109
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & gaussian filter & background masking,no,7,0.997,0.179,0.304,0.108
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & background masking,no,7,0.998,0.178,0.302,0.928
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & gaussian filter & background masking,no,7,0.997,0.178,0.302,1.001
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & background masking,no,7,0.998,0.178,0.302,0.085
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & gaussian filter & background masking,no,7,0.998,0.178,0.302,0.099
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & gaussian filter & background masking,flip horizontal vertical & 2x,7,0.998,0.176,0.299,0.097
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & gaussian filter & background masking,flip horizontal vertical & 2x,7,0.997,0.176,0.299,0.113
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & background masking,no,7,0.999,0.175,0.298,0.105
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & background masking,flip horizontal vertical & 2x,7,0.999,0.174,0.296,0.078
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & gaussian filter & background masking,flip horizontal vertical & 2x,7,0.997,0.174,0.296,0.085
Mask RCNN,50,0.0001,480x480,63,resize 720x720 & background masking,flip horizontal vertical & 2x,7,0.999,0.174,0.296,0.104
Mask RCNN,50,0.0001,480x480,63,background masking,no,7,1.0,0.173,0.295,1.016
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & background masking,flip horizontal vertical & 2x,7,0.999,0.173,0.295,0.09
Mask RCNN,50,0.0001,480x480,63,background masking,flip horizontal vertical & 2x,7,0.999,0.171,0.292,0.078
PSPNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,flipHorizontalVertical & 2x,7,0.171,0.988,0.292,0.88
Mask RCNN,50,0.0001,480x480,45,gaussian filter,no,5,0.084,1.0,0.155,0.113
DeepLabv3plus,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.077,0.997,0.143,0.776
DeepLabv3plus,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.061,1.0,0.115,1.165
DeepLabv3plus,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.053,1.0,0.101,1.984
PSPNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.052,0.998,0.099,0.681
DeepLabv3plus,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.046,1.0,0.088,1.192
PSPNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.04,0.993,0.077,0.556
PSPNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.038,0.995,0.073,0.735
PSPNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.037,0.992,0.071,0.893
Mask RCNN,50,0.0001,480x480,63,resize 640x640 & adaptive median filter 7 & grayscale,no,7,0.035,0.915,0.067,0.121
PSPNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.026,0.997,0.051,0.473
DeepLabv3plus,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.024,1.0,0.047,0.721
DeepLabv3plus,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.02,1.0,0.039,1.039
PSPNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.019,1.0,0.037,0.809
DeepLabv3plus,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.012,1.0,0.024,1.117
PSPNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.011,1.0,0.022,0.73
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 3 & bilateral smooth filter 15 100 100,no,7,0.01,0.513,0.02,0.109
DeepLabv3plus,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,translate & 2x,7,0.004,1.0,0.008,0.476
DeepLabv3plus,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.002,1.0,0.004,0.678
Mask RCNN,50,0.0001,480x480,45,gaussian filter,flip horizontal vertical & 2x,5,0.002,1.0,0.004,0.11
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,7,0.001,0.12,0.002,0.125
Mask RCNN,75,0.0001,720x720,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.001,0.162,0.002,0.159
UNet,75,0.0001,640x640,45,gaussian filter,no,5,0.001,1.0,0.002,0.331
DeepLabv3plus,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,scale & 2x,7,0.0,1.0,0.0,0.685
DeepLabv3plus,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,translate & 2x,7,0.0,0.0,0.0,0.741
DeepLabv3plus,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,scale & 2x,7,0.0,1.0,0.0,1.656
Mask RCNN,50,0.0001,480x480,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.141
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 3 & bilateral smooth filter 15 100 100,no,5,0.0,0.0,0.0,0.142
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.167
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 15 100 100,no,5,0.0,0.0,0.0,0.16
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 9 75 75,no,5,0.0,0.0,0.0,0.107
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.21
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 15 100 100,no,5,0.0,0.0,0.0,0.178
Mask RCNN,50,0.0001,480x480,45,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 9 75 75,no,5,0.0,0.0,0.0,0.125
Mask RCNN,50,0.0001,480x480,45,no,no,5,0.0,0.0,0.0,0.828
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & adaptive median filter 7 & grayscale,flip horizontal vertical & 2x,5,0.0,0.122,0.0,0.141
Mask RCNN,50,0.0001,480x480,45,resize 480x480 & adaptive median filter 7 & grayscale,no,5,0.0,0.0,0.0,0.13
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & adaptive median filter 7 & grayscale,no,5,0.0,0.0,0.0,0.171
Mask RCNN,50,0.0001,480x480,45,resize 720x720 & adaptive median filter 7 & grayscale,no,5,0.0,0.0,0.0,0.291
Mask RCNN,50,0.0001,480x480,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.117
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 5 & bilateral smooth filter 15 100 100,no,7,0.0,0.0,0.0,0.123
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,7,0.0,0.0,0.0,0.142
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 15 100 100,no,7,0.0,0.0,0.0,0.138
Mask RCNN,50,0.0001,480x480,63,grayscale & sharpening & adaptive median filter 7 & bilateral smooth filter 9 75 75,no,7,0.0,0.0,0.0,0.097
Mask RCNN,50,0.0001,480x480,63,resize 480x480 & adaptive median filter 7 & grayscale,no,7,0.0,0.0,0.0,0.123
Mask RCNN,50,0.0001,640x640,45,gaussian filter,no,5,0.0,0.0,0.0,0.224
Mask RCNN,50,0.0001,640x640,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.254
Mask RCNN,50,0.0001,640x640,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.231
Mask RCNN,50,0.0001,640x640,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,0.0,0.0,0.191
Mask RCNN,50,0.0001,640x640,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.185
Mask RCNN,50,0.0001,720x720,45,gaussian filter,no,5,0.0,0.0,0.0,1.433
Mask RCNN,50,0.0001,720x720,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.136
Mask RCNN,50,0.0001,720x720,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.124
Mask RCNN,50,0.0001,720x720,45,no,no,5,0.0,0.0,0.0,1.66
Mask RCNN,50,0.0001,720x720,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,0.0,0.0,0.122
Mask RCNN,50,0.0001,720x720,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.107
Mask RCNN,75,0.0001,480x480,45,gaussian filter,no,5,0.0,0.0,0.0,0.195
Mask RCNN,75,0.0001,480x480,45,no,no,5,0.0,0.0,0.0,0.921
Mask RCNN,75,0.0001,640x640,45,gaussian filter,no,5,0.0,0.0,0.0,0.29
Mask RCNN,75,0.0001,640x640,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.306
Mask RCNN,75,0.0001,640x640,45,no,no,5,0.0,0.0,0.0,0.244
Mask RCNN,75,0.0001,640x640,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.083
Mask RCNN,75,0.0001,720x720,45,gaussian filter,no,5,0.0,0.0,0.0,0.174
Mask RCNN,75,0.0001,720x720,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.193
Mask RCNN,75,0.0001,720x720,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.183
Mask RCNN,75,0.0001,720x720,45,no,no,5,0.0,0.0,0.0,1.554
Mask RCNN,75,0.0001,720x720,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.157
PSPNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.0,1.0,0.0,0.419
PSPNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,scale & 2x,7,0.0,0.0,0.0,0.447
PSPNet,50,0.0001,480x480,63,bilateral smooth filter 15 100 100,translate & 2x,7,0.0,0.0,0.0,0.46
PSPNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,scale & 2x,7,0.0,0.0,0.0,0.685
PSPNet,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,translate & 2x,7,0.0,0.0,0.0,0.708
UNet,50,0.0001,480x480,45,gaussian filter,no,5,0.0,0.0,0.0,0.273
UNet,50,0.0001,480x480,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.296
UNet,50,0.0001,480x480,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.283
UNet,50,0.0001,480x480,45,no,no,5,0.0,0.0,0.0,5.746
UNet,50,0.0001,480x480,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,0.0,0.0,0.241
UNet,50,0.0001,480x480,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.222
UNet,50,0.0001,640x640,45,gaussian filter,no,5,0.0,0.0,0.0,0.186
UNet,50,0.0001,640x640,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.238
UNet,50,0.0001,640x640,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.193
UNet,50,0.0001,640x640,45,no,no,5,0.0,0.0,0.0,4.423
UNet,50,0.0001,640x640,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,0.0,0.0,0.182
UNet,50,0.0001,640x640,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.175
UNet,50,0.0001,720x720,45,gaussian filter,no,5,0.0,0.0,0.0,0.3
UNet,50,0.0001,720x720,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.325
UNet,50,0.0001,720x720,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.705
UNet,50,0.0001,720x720,45,no,no,5,0.0,0.0,0.0,5.26
UNet,50,0.0001,720x720,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,0.0,0.0,7.193
UNet,50,0.0001,720x720,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.297
UNet,75,0.0001,480x480,45,gaussian filter,no,5,0.0,0.0,0.0,0.172
UNet,75,0.0001,480x480,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.177
UNet,75,0.0001,480x480,45,no,no,5,0.0,0.0,0.0,5.647
UNet,75,0.0001,480x480,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.159
UNet,75,0.0001,640x640,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.395
UNet,75,0.0001,640x640,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.379
UNet,75,0.0001,640x640,45,no,no,5,0.0,0.0,0.0,4.463
UNet,75,0.0001,640x640,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,1.0,0.0,0.287
UNet,75,0.0001,640x640,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.285
UNet,75,0.0001,720x720,45,gaussian filter,no,5,0.0,0.0,0.0,5.052
UNet,75,0.0001,720x720,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.175
UNet,75,0.0001,720x720,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.166
UNet,75,0.0001,720x720,45,no,no,5,0.0,0.0,0.0,5.777
UNet,75,0.0001,720x720,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.152
